AT;BE;BG;HR;CZ;DK_1;DK_2;EE;FI;FR;DE_LU;GR;HU;IT_CALA;IT_CNOR;IT_CSUD;IT_NORD;IT_SARD;IT_SICI;IT_SUD;LV;LT;NL;PL;PT;RO;SK;SI;ES;SE_1;SE_2;SE_3;SE_4
14.633000000000001;14.633000000000001;23.838;14.633000000000001;14.633000000000001;14.633000000000001;14.633000000000001;14.633000000000001;14.633000000000001;14.633000000000001;14.633000000000001;20.583000000000002;14.633000000000001;20.583000000000002;20.583000000000002;20.583000000000002;20.583000000000002;20.583000000000002;20.583000000000002;20.583000000000002;14.633000000000001;14.633000000000001;14.633000000000001;14.633000000000001;17.722;12.187999999999999;14.633000000000001;14.633000000000001;17.722;4.942;4.942;14.633000000000001;14.633000000000001
14.028;14.028;26.782999999999998;14.028;14.028;14.028;14.028;14.028;14.028;14.028;14.028;21.466;14.028;21.466;21.466;21.466;21.466;21.466;21.466;21.466;14.028;14.028;14.028;14.028;18.752000000000002;13.693999999999999;14.028;14.028;18.752000000000002;4.872;4.872;14.028;14.028
12.187999999999999;12.187999999999999;23.839;12.187999999999999;12.187999999999999;12.187999999999999;12.187999999999999;12.187999999999999;12.187999999999999;12.187999999999999;12.187999999999999;21.466;12.187999999999999;21.466;21.466;21.466;21.466;21.466;21.466;21.466;12.187999999999999;12.187999999999999;12.187999999999999;12.187999999999999;18.926;12.187999999999999;12.187999999999999;12.187999999999999;18.926;4.828;4.828;12.187999999999999;12.187999999999999
10.261;10.261;20.069;10.261;10.261;10.261;10.261;10.261;10.261;10.261;10.261;20.3;10.261;20.3;20.3;20.3;20.3;20.3;20.3;20.3;10.261;10.261;10.261;10.261;19.081;10.261;10.261;10.261;19.081;4.761;4.761;10.261;10.261
9.745999999999999;9.745999999999999;19.062;9.745999999999999;9.745999999999999;9.512;9.512;9.745999999999999;9.745999999999999;9.745999999999999;9.745999999999999;18.0;9.745999999999999;18.0;18.0;18.0;18.0;18.0;18.0;18.0;9.745999999999999;9.745999999999999;9.745999999999999;9.745999999999999;18.839;9.745999999999999;9.745999999999999;9.745999999999999;18.839;4.723;4.723;9.512;9.512
8.516;8.516;8.426;8.516;8.516;8.311;8.311;8.516;8.516;8.516;8.516;16.244;8.516;16.244;16.244;16.244;16.244;16.244;16.244;16.244;8.516;8.516;8.516;8.516;16.726;4.308;8.516;8.516;16.726;4.674;4.674;8.311;8.311
5.708;5.708;11.164;5.708;5.708;5.708;3.473;5.708;5.708;5.708;5.708;15.572;5.708;15.572;14.808000000000002;15.572;14.808000000000002;15.572;15.572;15.572;5.708;5.708;5.708;8.989;13.321000000000002;5.708;5.708;5.708;13.321000000000002;3.473;3.473;3.473;3.473
5.259;5.259;10.285;5.259;5.259;5.259;3.439;5.509;5.509;5.259;5.259;14.285;5.259;14.285;14.285;14.285;14.285;14.285;14.285;14.285;5.509;5.509;5.259;8.015;11.587;5.259;5.259;5.259;11.587;3.439;3.439;3.439;3.439
4.897;4.897;8.427;4.897;4.897;4.897;3.436;5.282;5.282;4.897;4.897;14.059999999999999;4.897;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;5.282;5.282;4.897;6.275;11.052;4.309;4.897;4.897;11.052;3.436;3.436;3.436;3.436
3.4939999999999998;3.4939999999999998;3.9530000000000003;3.4939999999999998;3.4939999999999998;3.4939999999999998;3.41;3.4939999999999998;3.4939999999999998;3.4939999999999998;3.4939999999999998;5.929;3.4939999999999998;10.0;10.0;10.0;10.0;10.0;10.0;10.0;3.4939999999999998;3.4939999999999998;3.4939999999999998;5.487;11.3;2.021;3.4939999999999998;3.4939999999999998;11.3;3.41;3.41;3.41;3.41
2.956;2.956;1.8969999999999998;2.956;2.956;2.956;2.956;2.956;2.956;2.956;2.956;0.97;2.956;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;2.956;2.956;2.956;5.05;11.587;0.97;2.956;2.956;11.587;2.956;2.956;2.956;2.956
3.397;3.397;1.8969999999999998;3.397;3.397;3.397;3.397;5.301;5.301;3.397;3.397;0.97;3.397;14.193000000000001;14.193000000000001;14.193000000000001;14.193000000000001;14.193000000000001;14.193000000000001;14.193000000000001;5.301;5.301;3.397;5.089;11.052;0.97;3.397;3.397;11.052;3.397;3.397;3.397;3.397
3.4520000000000004;3.4520000000000004;1.8969999999999998;3.4520000000000004;3.4520000000000004;3.4520000000000004;3.4520000000000004;3.4520000000000004;3.4520000000000004;3.4520000000000004;3.4520000000000004;0.97;3.4520000000000004;14.709;14.709;14.709;14.709;14.709;14.709;14.709;3.4520000000000004;3.4520000000000004;3.4520000000000004;5.615;11.587;0.97;3.4520000000000004;3.4520000000000004;11.587;3.4520000000000004;3.4520000000000004;3.4520000000000004;3.4520000000000004
4.18;4.18;4.759;4.18;4.18;4.18;4.18;4.18;4.18;4.18;4.18;2.433;4.18;15.572;15.261000000000001;15.572;15.261000000000001;15.572;15.572;15.572;4.18;4.18;4.18;6.090999999999999;12.959999999999999;2.433;4.18;4.18;12.959999999999999;4.18;4.18;4.18;4.18
4.8950000000000005;4.8950000000000005;9.573;4.8950000000000005;4.8950000000000005;4.8950000000000005;4.8950000000000005;4.8950000000000005;4.8950000000000005;4.8950000000000005;4.8950000000000005;4.8950000000000005;4.8950000000000005;15.259;15.259;15.259;15.259;15.259;15.259;15.259;4.8950000000000005;4.8950000000000005;4.8950000000000005;6.554;11.587;4.8950000000000005;4.8950000000000005;4.8950000000000005;11.587;4.8950000000000005;4.8950000000000005;4.8950000000000005;4.8950000000000005
6.0009999999999994;6.0009999999999994;11.736;6.0009999999999994;6.0009999999999994;6.0009999999999994;6.0009999999999994;6.0009999999999994;6.0009999999999994;6.0009999999999994;6.0009999999999994;6.0009999999999994;6.0009999999999994;15.572;15.572;15.572;15.572;15.572;15.572;15.572;6.0009999999999994;6.0009999999999994;6.0009999999999994;8.618;11.587;6.0009999999999994;6.0009999999999994;6.0009999999999994;11.587;4.933;4.933;6.0009999999999994;6.0009999999999994
7.009;7.009;13.708000000000002;7.009;7.009;7.009;7.009;7.009;7.009;7.009;7.009;7.009;7.009;16.798;16.798;16.798;16.798;16.798;16.798;16.798;7.009;7.009;7.009;8.971;11.3;7.009;7.009;7.009;11.3;4.952;4.952;7.009;7.009
6.626;6.626;12.958000000000002;6.626;6.626;6.626;6.626;6.626;6.626;6.626;6.626;6.626;6.626;17.508000000000003;17.508000000000003;17.508000000000003;17.508000000000003;17.508000000000003;17.508000000000003;17.508000000000003;6.626;6.626;6.626;9.112;11.587;6.626;6.626;6.626;10.370000000000001;5.0009999999999994;5.0009999999999994;6.626;6.626
6.454000000000001;6.454000000000001;12.623000000000001;6.454000000000001;6.454000000000001;6.454000000000001;6.454000000000001;6.454000000000001;6.454000000000001;6.454000000000001;6.454000000000001;6.454000000000001;6.454000000000001;18.958000000000002;18.958000000000002;18.958000000000002;18.958000000000002;18.958000000000002;18.958000000000002;18.958000000000002;6.454000000000001;6.454000000000001;6.454000000000001;9.14;11.0;6.454000000000001;6.454000000000001;6.454000000000001;10.370000000000001;5.09;5.09;6.454000000000001;6.454000000000001
4.696;4.696;14.427000000000001;4.696;4.696;4.696;4.696;4.696;4.696;4.696;4.696;7.377;7.377;16.969;16.969;16.969;16.969;16.969;16.969;16.969;4.696;4.696;4.696;9.144;11.052;7.377;4.696;4.696;11.052;4.696;4.696;4.696;4.696
