AT;BE;BG;HR;CZ;DK_1;DK_2;EE;FI;FR;DE_LU;GR;HU;IE_SEM;IT_CALA;IT_CNOR;IT_CSUD;IT_NORD;IT_SARD;IT_SICI;IT_SUD;LV;LT;NL;PL;PT;RO;SK;SI;ES;SE_1;SE_2;SE_3;SE_4
8.206;6.992;3.5;6.765000000000001;6.3020000000000005;5.7909999999999995;5.7909999999999995;3.5;3.5;6.138;5.7909999999999995;23.059;6.675;20.0;18.727;18.727;18.727;18.727;18.727;18.727;18.727;3.5;3.5;10.99;9.687000000000001;4.2170000000000005;3.5;6.520999999999999;6.795999999999999;6.138;5.7909999999999995;5.7909999999999995;5.7909999999999995;5.7909999999999995
7.303;5.914;6.678;6.0009999999999994;5.608;5.167;5.167;5.7909999999999995;5.7909999999999995;5.268;5.167;18.727;5.931;20.024;18.72;18.72;18.72;18.72;18.72;18.72;18.72;5.7909999999999995;5.7909999999999995;9.49;9.607;4.2;6.678;5.798;6.017;4.2170000000000005;5.167;5.167;5.167;5.167
5.293;5.293;5.93;5.293;5.293;5.293;5.286;5.167;5.167;5.293;5.293;18.72;5.293;18.064;18.0;18.0;18.0;18.0;18.0;18.0;18.0;5.167;5.167;5.293;9.48;4.207;5.93;5.293;5.293;4.2;5.286;5.286;5.286;5.286
4.612;4.259;5.293;4.468;4.439;4.4159999999999995;4.4159999999999995;5.286;5.286;4.275;4.409000000000001;18.0;4.468999999999999;16.5;18.0;18.0;18.0;18.0;18.0;18.0;18.0;5.286;5.286;4.4159999999999995;9.486;4.2170000000000005;5.293;4.4590000000000005;4.464;4.207;4.4159999999999995;4.4159999999999995;4.4159999999999995;4.4159999999999995
5.008;5.008;4.4670000000000005;5.008;5.008;5.008;5.008;4.4159999999999995;4.4159999999999995;5.008;5.008;18.0;5.008;15.427000000000001;18.589;18.589;18.589;18.589;18.589;18.589;18.589;4.4159999999999995;4.4159999999999995;5.008;9.687000000000001;6.322;4.4670000000000005;5.008;5.008;4.2170000000000005;5.008;5.008;5.008;5.008
7.81;6.9719999999999995;5.008;7.269;7.136;7.7090000000000005;7.073;5.008;5.008;6.7909999999999995;6.9719999999999995;18.589;7.257;15.875;18.589;18.589;18.589;18.589;18.589;18.589;18.589;5.008;5.008;7.7090000000000005;9.699;8.5;5.008;7.211;7.265000000000001;6.322;7.073;7.073;7.073;7.073
10.508;10.508;7.253;10.508;10.508;10.508;10.408;7.073;7.073;10.508;10.508;27.187;10.508;17.729;19.884999999999998;19.884999999999998;19.884999999999998;19.884999999999998;19.884999999999998;19.884999999999998;19.884999999999998;7.073;7.073;10.508;14.047999999999998;10.536;7.253;10.508;10.508;8.5;10.256;10.256;10.256;10.256
14.063999999999998;14.063999999999998;10.508;14.063999999999998;14.063999999999998;14.063999999999998;14.063999999999998;10.508;10.256;14.063999999999998;14.063999999999998;34.876999999999995;14.063999999999998;16.346;20.272;20.272;20.272;20.272;20.272;20.272;20.272;10.508;10.508;14.063999999999998;14.063999999999998;11.946;10.508;14.063999999999998;14.063999999999998;10.536;11.243;11.243;13.818999999999999;13.818999999999999
14.708000000000002;15.188999999999998;14.063999999999998;14.697999999999999;14.639;14.597999999999999;14.597999999999999;13.818999999999999;13.818999999999999;14.98;14.597999999999999;35.376999999999995;14.666999999999998;18.431;21.336000000000002;21.336000000000002;21.336000000000002;21.336000000000002;21.336000000000002;21.336000000000002;21.336000000000002;13.818999999999999;13.818999999999999;16.244;14.597999999999999;12.014;14.063999999999998;14.651;14.715;13.1;11.129000000000001;11.129000000000001;14.597999999999999;14.597999999999999
14.922999999999998;15.884;14.672999999999998;14.904;14.787;14.705000000000002;14.705000000000002;14.597999999999999;14.597999999999999;15.466;14.705000000000002;23.1;14.841999999999999;20.056;20.399;20.399;20.399;20.399;20.399;20.399;20.399;14.597999999999999;14.597999999999999;18.0;14.705000000000002;12.120999999999999;14.672999999999998;14.809000000000001;14.937000000000001;13.158000000000001;11.494;11.494;14.705000000000002;14.705000000000002
14.561000000000002;14.561000000000002;14.855;14.561000000000002;14.561000000000002;14.561000000000002;14.561000000000002;14.705000000000002;14.705000000000002;14.561000000000002;14.561000000000002;20.399;14.561000000000002;20.500999999999998;19.622999999999998;19.622999999999998;19.622999999999998;19.622999999999998;19.622999999999998;19.622999999999998;19.622999999999998;14.705000000000002;14.705000000000002;14.561000000000002;14.561000000000002;12.5;14.855;14.561000000000002;14.561000000000002;12.7;11.495000000000001;11.495000000000001;14.561000000000002;14.561000000000002
14.334999999999999;14.334999999999999;14.561000000000002;14.334999999999999;14.334999999999999;14.334999999999999;14.334999999999999;14.561000000000002;14.561000000000002;14.334999999999999;14.334999999999999;19.622999999999998;14.334999999999999;20.756999999999998;18.889;19.463;19.463;19.463;19.463;18.889;18.889;14.561000000000002;14.561000000000002;14.334999999999999;14.334999999999999;12.675;14.561000000000002;14.334999999999999;14.334999999999999;12.607;11.756;11.756;14.334999999999999;14.334999999999999
14.437999999999999;14.437999999999999;14.334999999999999;14.437999999999999;14.437999999999999;14.437999999999999;14.437999999999999;14.334999999999999;14.334999999999999;14.437999999999999;14.437999999999999;18.889;14.437999999999999;20.856;18.791;19.447;18.791;19.447;18.791;18.791;18.791;14.334999999999999;14.334999999999999;14.437999999999999;14.437999999999999;12.675;14.334999999999999;14.437999999999999;14.437999999999999;12.7;13.127;13.127;14.437999999999999;14.437999999999999
